2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,
Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Column2
178,2,2,4,11.594,6/27/2017,15,3:00 PM,,186,2,4,4,14.8016,7/5/2018,15,3:00 PM,,192,2,4,2,17.2036,7/11/2019,9,9:00 AM
178,2,2,4,14.5208,6/27/2017,15,3:00 PM,,187,2,5,2,9.77633,7/6/2018,9,9:00 AM,,194,2,6,1,9.19989,7/13/2019,6,6:00 AM
179,2,3,4,15.7884,6/28/2017,15,3:00 PM,,188,2,6,2,9.67614,7/7/2018,9,9:00 AM,,197,2,2,3,9.34555,7/16/2019,12,12:00 PM
180,2,4,3,8.15969,6/29/2017,12,12:00 PM,,188,2,6,4,10.6938,7/7/2018,15,3:00 PM,,203,2,1,3,14.8738,7/22/2019,12,12:00 PM
181,2,5,1,10.1429,6/30/2017,6,6:00 AM,,194,2,5,1,17.013,7/13/2018,6,6:00 AM,,204,2,2,3,6.87646,7/23/2019,12,12:00 PM
186,2,3,1,11.048,7/5/2017,6,6:00 AM,,195,2,6,1,11.8159,7/14/2018,6,6:00 AM,,208,2,6,2,14.5977,7/27/2019,9,9:00 AM
186,2,3,2,15.4646,7/5/2017,9,9:00 AM,,200,2,4,3,11.0071,7/19/2018,12,12:00 PM,,210,2,1,3,13.4408,7/29/2019,12,12:00 PM
187,2,4,2,12.5828,7/6/2017,9,9:00 AM,,200,2,4,4,12.5245,7/19/2018,15,3:00 PM,,212,2,3,4,12.5697,7/31/2019,15,3:00 PM
195,2,5,1,10.4578,7/14/2017,6,6:00 AM,,200,2,4,4,18.4681,7/19/2018,15,3:00 PM,,213,2,4,1,7.73663,8/1/2019,6,6:00 AM
196,2,6,3,8.03922,7/15/2017,12,12:00 PM,,201,2,5,3,16.3279,7/20/2018,12,12:00 PM,,213,2,4,1,16.3737,8/1/2019,6,6:00 AM
198,2,1,3,8.68845,7/17/2017,12,12:00 PM,,205,2,2,4,9.60186,7/24/2018,15,3:00 PM,,214,2,5,1,11.2212,8/2/2019,6,6:00 AM
203,2,6,4,8.85881,7/22/2017,15,3:00 PM,,206,2,3,4,9.26238,7/25/2018,15,3:00 PM,,214,2,5,3,14.027,8/2/2019,12,12:00 PM
205,2,1,2,17.2446,7/24/2017,9,9:00 AM,,206,2,3,4,15.8081,7/25/2018,15,3:00 PM,,219,2,3,1,9.22975,8/7/2019,6,6:00 AM
206,2,2,3,13.8333,7/25/2017,12,12:00 PM,,207,2,4,3,13.8101,7/26/2018,12,12:00 PM,,228,2,5,4,14.2645,8/16/2019,15,3:00 PM
207,2,3,4,7.93355,7/26/2017,15,3:00 PM,,215,2,5,2,11.3161,8/3/2018,9,9:00 AM,,231,2,1,3,14.1573,8/19/2019,12,12:00 PM
207,2,3,4,16.4675,7/26/2017,15,3:00 PM,,218,2,1,4,18.1525,8/6/2018,15,3:00 PM,,233,2,3,2,9.74195,8/21/2019,9,9:00 AM
209,2,5,1,12.2612,7/28/2017,6,6:00 AM,,222,2,5,1,7.72886,8/10/2018,6,6:00 AM,,234,2,4,2,13.903,8/22/2019,9,9:00 AM
213,2,2,1,12.8643,8/1/2017,6,6:00 AM,,223,2,6,3,12.2205,8/11/2018,12,12:00 PM,,238,2,1,2,9.36756,8/26/2019,9,9:00 AM
221,2,3,1,10.1216,8/9/2017,6,6:00 AM,,223,2,6,4,13.1345,8/11/2018,15,3:00 PM,,238,2,1,4,12.8292,8/26/2019,15,3:00 PM
230,2,5,1,9.25555,8/18/2017,6,6:00 AM,,225,2,1,2,9.34686,8/13/2018,9,9:00 AM,,242,3,5,1,12.9279,8/30/2019,6,6:00 AM
231,2,6,1,14.1219,8/19/2017,6,6:00 AM,,226,2,2,4,12.9724,8/14/2018,15,3:00 PM,,245,3,1,1,8.78134,9/2/2019,6,6:00 AM
241,3,2,3,7.02961,8/29/2017,12,12:00 PM,,232,2,1,3,8.59775,8/20/2018,12,12:00 PM,,245,3,1,1,15.5798,9/2/2019,6,6:00 AM
243,3,4,2,15.5179,8/31/2017,9,9:00 AM,,233,2,2,4,11.3296,8/21/2018,15,3:00 PM,,246,3,2,1,13.331,9/3/2019,6,6:00 AM
248,3,2,4,16.5732,9/5/2017,15,3:00 PM,,233,2,2,4,14.1432,8/21/2018,15,3:00 PM,,247,3,3,2,16.7985,9/4/2019,9,9:00 AM
250,3,4,1,9.26734,9/7/2017,6,6:00 AM,,234,2,3,3,12.1916,8/22/2018,12,12:00 PM,,247,3,3,4,17.3504,9/4/2019,15,3:00 PM
252,3,6,1,7.0163,9/9/2017,6,6:00 AM,,236,2,5,2,9.80797,8/24/2018,9,9:00 AM,,248,3,4,2,8.69636,9/5/2019,9,9:00 AM
257,3,4,2,16.0581,9/14/2017,9,9:00 AM,,240,2,2,2,13.2822,8/28/2018,9,9:00 AM,,252,3,1,1,11.7117,9/9/2019,6,6:00 AM
258,3,5,1,17.8144,9/15/2017,6,6:00 AM,,246,3,1,1,9.97303,9/3/2018,6,6:00 AM,,253,3,2,2,15.864,9/10/2019,9,9:00 AM
261,3,1,2,13.5815,9/18/2017,9,9:00 AM,,246,3,1,4,12.0929,9/3/2018,15,3:00 PM,,257,3,6,1,12.631,9/14/2019,6,6:00 AM
263,3,3,1,9.85249,9/20/2017,6,6:00 AM,,248,3,3,3,7.04014,9/5/2018,12,12:00 PM,,262,3,4,3,9.03037,9/19/2019,12,12:00 PM
